TQ,DPQ,C,OU,DI,DFT,DFO,RD
2,2,0,4,4,1,3,3
2,0,4,4,84,24,51,59
0,0,2,0,57,10,7,46
1,4,4,4,16,0,12,17
1,2,2,2,19,8,5,11
0,2,1,1,9,2,0,7
0,4,0,1,0,1,1,2
2,3,0,3,5,1,1,3
2,0,2,2,62,13,16,47
4,2,4,0,32,30,1,1
0,1,3,1,54,13,6,42
3,2,1,2,9,0,3,9
2,4,2,4,13,3,10,12
1,4,0,0,1,1,0,0
2,3,4,2,19,2,4,16
0,2,0,2,8,2,3,5
3,3,0,4,8,3,2,4
2,3,1,3,9,3,3,6
0,3,0,0,1,1,0,3
3,3,3,1,17,16,0,4
0,0,4,1,59,8,9,51
1,1,1,4,0,0,2,1
0,4,2,0,8,0,2,8
1,1,3,3,26,8,5,20
4,4,4,4,12,13,0,1
2,1,3,0,29,7,6,21
3,1,2,3,24,7,8,18
2,3,1,0,8,1,2,6
3,0,2,2,52,19,12,33
2,0,2,1,50,11,10,37
1,4,0,4,2,1,0,2
0,4,3,0,12,0,2,11
1,3,4,1,12,4,1,8
4,0,1,3,34,31,2,2
2,1,2,1,22,7,2,15
2,0,3,3,65,23,16,41
0,0,2,4,51,18,26,32
0,0,4,0,75,19,6,55
2,3,0,4,4,1,1,3
4,0,3,2,57,41,5,17
0,1,2,4,33,5,21,26
1,0,1,4,28,7,16,19
3,3,1,4,8,4,4,3
3,2,3,2,34,14,7,18
0,1,1,0,24,1,4,23
0,3,3,3,19,2,7,16
3,2,3,0,8,4,0,4
0,2,3,0,16,4,0,12
2,1,4,0,42,10,4,31
4,1,1,2,10,11,4,2
3,0,2,1,34,19,1,15
3,2,4,4,7,4,0,4
2,4,2,1,0,0,2,1
2,1,4,2,22,13,2,8
1,1,1,1,7,1,6,5
4,2,2,2,24,22,1,2
0,0,2,3,37,9,12,27
1,1,2,4,31,3,23,26
1,2,4,3,50,7,16,41
2,4,2,3,12,4,0,6
3,3,4,0,19,9,6,9
3,3,4,4,19,5,14,13
3,3,4,2,25,9,4,15
2,0,4,2,75,30,14,47
1,0,4,4,67,18,37,49
2,1,4,4,25,6,17,18
0,1,3,1,22,5,5,17
2,2,0,3,5,2,0,3
1,1,3,1,22,8,5,13
1,4,2,1,10,0,4,11
3,2,3,3,29,15,6,13
0,4,0,2,0,1,1,0
1,4,0,4,1,1,2,1
1,3,1,4,6,1,5,5
2,2,0,1,1,0,3,1
4,4,1,2,5,3,0,2
4,0,4,1,89,71,3,17
0,0,3,3,64,10,25,53
2,1,0,2,5,1,0,4
4,0,2,0,61,51,0,10
0,3,1,3,3,1,0,2
3,0,0,0,15,9,3,5
4,2,4,3,43,35,2,8
3,1,2,0,26,21,2,3
2,1,0,4,12,0,11,14
4,2,1,3,1,0,1,0
2,0,3,1,77,24,10,52
0,4,1,2,5,0,0,5
2,0,0,1,11,3,2,7
4,4,3,4,14,1,14,14
0,3,0,4,6,0,3,6
2,3,0,0,1,1,0,0
4,2,2,4,27,29,0,0
2,4,4,1,16,0,3,16
4,3,4,0,11,0,3,11
4,1,4,4,36,29,2,7
0,1,2,4,16,3,9,12
2,2,3,4,16,4,9,10
4,0,4,4,82,68,11,13
4,0,2,1,36,33,3,4
1,3,3,3,13,2,4,10
3,3,1,1,13,5,0,6
4,1,0,2,11,15,0,1
1,1,0,0,3,0,5,2
3,4,2,2,10,3,3,5
3,3,3,4,10,4,5,5
2,3,1,0,7,3,3,4
2,0,1,2,26,13,2,11
2,4,4,4,15,6,7,8
2,3,0,3,2,0,0,0
0,3,4,4,12,0,7,11
3,1,1,3,19,4,10,14
1,1,3,4,29,9,17,19
0,3,3,2,30,7,11,22
4,1,3,1,38,32,2,4
0,2,4,2,26,5,8,21
1,2,0,4,5,1,3,3
1,1,1,4,12,3,3,7
0,1,1,2,16,1,3,13
0,3,2,4,14,0,11,13
4,4,2,3,10,5,1,4
3,3,2,4,8,2,7,7
3,4,0,4,4,1,7,5
2,0,3,1,63,23,10,38
1,1,2,1,19,2,1,17
1,2,2,4,18,2,11,16
